userId,movieId,rating,timestamp
1,296.0,5.0,1147880044.0
1,306.0,3.5,1147868817.0
1,307.0,5.0,1147868828.0
1,665.0,5.0,1147878820.0
1,899.0,3.5,1147868510.0
1,1088.0,4.0,1147868495.0
1,1175.0,3.5,1147868826.0
1,1217.0,3.5,1147878326.0
1,1237.0,5.0,1147868839.0
1,1250.0,4.0,1147868414.0
1,1260.0,3.5,1147877857.0
1,1653.0,4.0,1147868097.0
1,2011.0,2.5,1147868079.0
1,2012.0,2.5,1147868068.0
1,2068.0,2.5,1147869044.0
1,2161.0,3.5,1147868609.0
1,2351.0,4.5,1147877957.0
1,2573.0,4.0,1147878923.0
1,2632.0,5.0,1147878248.0
1,2692.0,5.0,1147869100.0
1,2843.0,4.5,1147868891.0
1,3448.0,4.0,1147868480.0
1,3569.0,5.0,1147879603.0
1,3949.0,5.0,1147868678.0
1,4144.0,5.0,1147868898.0
1,4308.0,3.0,1147868534.0
1,4325.0,5.0,1147878122.0
1,4422.0,3.0,1147869048.0
1,4703.0,4.0,1147869223.0
1,4973.0,4.5,1147869080.0
1,5147.0,4.0,1147877654.0
1,5269.0,0.5,1147879571.0
1,5684.0,2.0,1147879797.0
1,5767.0,5.0,1147878729.0
1,5878.0,4.0,1147868807.0
1,5912.0,3.0,1147878698.0
1,5952.0,4.0,1147868053.0
1,6016.0,5.0,1147869090.0
1,6370.0,4.5,1147869191.0
1,6377.0,4.0,1147868469.0
1,6539.0,3.5,1147868461.0
1,6711.0,5.0,1147868622.0
1,6954.0,3.5,1147869150.0
1,7209.0,4.0,1147877986.0
1,7234.0,4.5,1147868869.0
1,7318.0,2.0,1147879850.0
1,7323.0,3.5,1147869119.0
1,7327.0,3.5,1147868855.0
1,7361.0,5.0,1147880055.0
1,7365.0,4.0,1147869033.0
1,7820.0,2.5,1147878050.0
1,7937.0,3.0,1147878055.0
1,7938.0,2.5,1147878063.0
1,7939.0,2.5,1147869183.0
1,7940.0,4.5,1147877967.0
1,8014.0,3.5,1147869155.0
1,8154.0,5.0,1147868865.0
1,8327.0,5.0,1147879375.0
1,8360.0,4.0,1147868682.0
1,8405.0,3.5,1147878095.0
1,8685.0,1.0,1147878023.0
1,8729.0,3.5,1147878452.0
1,8786.0,4.0,1147877853.0
1,8873.0,3.0,1147869094.0
1,8973.0,4.0,1147869211.0
1,27193.0,3.0,1147879774.0
1,27266.0,4.5,1147879365.0
1,27721.0,3.0,1147869115.0
1,31956.0,3.5,1147877610.0
1,32591.0,5.0,1147879538.0
2,1.0,3.5,1141415820.0
2,62.0,0.5,1141417130.0
2,110.0,5.0,1141416589.0
2,150.0,4.0,1141415790.0
2,151.0,4.5,1141415643.0
2,236.0,4.0,1141415659.0
2,260.0,5.0,1141417172.0
2,261.0,0.5,1141417855.0
2,266.0,1.0,1141415926.0
2,318.0,5.0,1141417181.0
2,333.0,5.0,1141415931.0
2,349.0,4.5,1141417045.0
2,356.0,4.5,1141416637.0
2,364.0,4.5,1141417077.0
2,380.0,1.0,1141415808.0
2,457.0,5.0,1141416618.0
2,480.0,2.0,1141417088.0
2,497.0,4.0,1141415566.0
2,524.0,3.5,1141417112.0
2,527.0,5.0,1141415816.0
2,534.0,4.5,1141417814.0
2,553.0,2.0,1141415539.0
2,588.0,2.0,1141417189.0
2,589.0,4.0,1141416748.0
2,653.0,3.0,1141415552.0
2,733.0,4.5,1141415905.0
2,858.0,3.5,1141416926.0
2,914.0,4.0,1141417642.0
2,953.0,4.5,1141417487.0
2,1035.0,1.0,1141415899.0
2,1080.0,1.0,1141415532.0
2,1136.0,5.0,1141417950.0
2,1196.0,5.0,1141417198.0
2,1197.0,5.0,1141415874.0
2,1198.0,4.0,1141417032.0
2,1201.0,2.5,1141415887.0
2,1210.0,5.0,1141416665.0
2,1246.0,4.0,1141416793.0
2,1257.0,5.0,1141417313.0
2,1270.0,4.0,1141417013.0
2,1271.0,1.5,1141417736.0
2,1275.0,4.5,1141417237.0
2,1283.0,4.0,1141416205.0
2,1287.0,5.0,1141417140.0
2,1291.0,5.0,1141416603.0
2,1293.0,5.0,1141417937.0
2,1299.0,1.0,1141416220.0
2,1302.0,3.0,1141417036.0
2,1356.0,5.0,1141417272.0
2,1374.0,4.5,1141415576.0
